ztf_public_20230208.tar.gz,PermissionError: [Errno 13] Permission denied: '/home/troyraen/ingest/alerts/ztf_public_20230208/2229311112915015028.avro'
ztf_public_20230207.tar.gz,extract_tar_PermissionError
ztf_public_20221021.tar.gz,extract_tar_PermissionError
ztf_public_20190524,rm_dir
ztf_public_20190525,rm_dir
ztf_public_20191001.tar.gz,extract_tar_ReadError
1003514994215015010.avro,fa_reader_ValueError
ztf_public_20191001,rm_dir
ztf_public_20191221.tar.gz,extract_tar_ReadError
1084092982515015000.avro,fa_reader_ValueError
ztf_public_20191221,rm_dir
ztf_public_20210105.tar.gz,extract_tar_PermissionError
ztf_public_20210507.tar.gz,extract_tar_PermissionError
ztf_public_20210508.tar.gz,extract_tar_PermissionError
ztf_public_20210511.tar.gz,extract_tar_PermissionError
ztf_public_20210524.tar.gz,extract_tar_PermissionError
ztf_public_20210112.tar.gz,extract_tar_PermissionError
ztf_public_20210829.tar.gz,extract_tar_PermissionError
ztf_public_20210117.tar.gz,extract_tar_PermissionError
ztf_public_20210906.tar.gz,extract_tar_PermissionError
ztf_public_20210620.tar.gz,extract_tar_PermissionError
ztf_public_20210217.tar.gz,empty_directory falert = apaths[0] IndexError: list index out of range
ztf_public_20210224.tar.gz,extract_tar_PermissionError
ztf_public_20211009.tar.gz,extract_tar_PermissionError
ztf_public_20210301.tar.gz,extract_tar_PermissionError
ztf_public_20211022.tar.gz,extract_tar_PermissionError
ztf_public_20210317.tar.gz,extract_tar_PermissionError
ztf_public_20211102.tar.gz,extract_tar_PermissionError
ztf_public_20211113.tar.gz,extract_tar_PermissionError
ztf_public_20211122.tar.gz,extract_tar_PermissionError
