kafka_topic__alerts,num_alerts
ztf_20210829_programid1,128246
ztf_20210912_programid1,258686
ztf_20210905_programid1,315782
ztf_20211010_programid1,147933
ztf_20220420_programid1,246411
ztf_20220417_programid1,415845
ztf_20210916_programid1,284896
ztf_20210927_programid1,191168
ztf_20211009_programid1,419869
ztf_20220403_programid1,558785
ztf_20220513_programid1,381308
ztf_20220407_programid1,485151
ztf_20210901_programid1,210594
ztf_20210906_programid1,259067
ztf_20220516_programid1,28154
ztf_20220213_programid1,233001
ztf_20211108_programid1,318094
ztf_20210913_programid1,283226
ztf_20220419_programid1,418288
ztf_20211113_programid1,377944
ztf_20211015_programid1,398661
ztf_20211104_programid1,360429
ztf_20220404_programid1,497380
ztf_20220408_programid1,263651
ztf_20210920_programid1,184975
ztf_20220515_programid1,425888
ztf_20210918_programid1,79383
ztf_20211114_programid1,226845
ztf_20211007_programid1,51348
ztf_20210827_programid1,182694
ztf_20210828_programid1,248875
ztf_20211109_programid1,296903
ztf_20220509_programid1,597968
ztf_20210831_programid1,57240
ztf_20210903_programid1,323820
ztf_20210910_programid1,291224
ztf_20220518_programid1,47916
ztf_20210914_programid1,211593
ztf_20210909_programid1,327240
ztf_20220214_programid1,260714
ztf_20220415_programid1,319243
ztf_20220413_programid1,473158
ztf_20211103_programid1,347181
ztf_20220511_programid1,597900
ztf_20220424_programid1,212505
ztf_20210902_programid1,273555
ztf_20210830_programid1,147924
ztf_20210904_programid1,260101
ztf_20220429_programid1,414000
ztf_20220406_programid1,222011
ztf_20220519_programid1,580438
ztf_20220503_programid1,413600
ztf_20211011_programid1,215813
ztf_20211003_programid1,224007
ztf_20211118_programid1,67827
ztf_20220430_programid1,135127
ztf_20210923_programid1,225236
ztf_20220418_programid1,165091
ztf_20220218_programid1,260247
ztf_20220410_programid1,223731
ztf_20220227_programid1,1679016
ztf_20210921_programid1,210605
ztf_20220514_programid1,217334
ztf_20220520_programid1,149156
ztf_20210915_programid1,117361
ztf_20211002_programid1,324549
ztf_20211013_programid1,80968
ztf_20220217_programid1,271539
ztf_20220426_programid1,240889
ztf_20220215_programid1,221752
ztf_20211106_programid1,341683
ztf_20220512_programid1,230853
ztf_20210911_programid1,293138
ztf_20220302_programid1,402049
ztf_20211107_programid1,456913
ztf_20210926_programid1,62212
ztf_20220504_programid1,43836
ztf_20211014_programid1,68182
ztf_20210917_programid1,232522
ztf_20220212_programid1,307402
ztf_20220416_programid1,163350
ztf_20210930_programid1,326935
ztf_20220421_programid1,393707
ztf_20211112_programid1,253413
ztf_20211111_programid1,389381
ztf_20210907_programid1,315357
ztf_20210919_programid1,246744
ztf_20220411_programid1,272071
ztf_20220414_programid1,223447
ztf_20220228_programid1,301539
ztf_20220501_programid1,456782
ztf_20220508_programid1,300969
ztf_20220401_programid1,206810
ztf_20210928_programid1,183477
ztf_20220502_programid1,224196
ztf_20220425_programid1,569745
ztf_20211110_programid1,25781
,4523
ztf_20210908_programid1,237836
ztf_20220402_programid1,284231
ztf_20211001_programid1,255764
ztf_20220226_programid1,349178
ztf_20211004_programid1,243205
ztf_20220303_programid1,270000
ztf_20211105_programid1,341594
ztf_20210929_programid1,98281
ztf_20220405_programid1,575099
ztf_20220427_programid1,601540
ztf_20220428_programid1,351246
ztf_20220409_programid1,507926
ztf_20220510_programid1,376737
